Наименование / ФИО,Тип субъекта,Категория,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Нематериальные активы 2024,Нематериальные активы 2023,Основные средства 2024,Основные средства 2023,Доходные вложения 2024,Доходные вложения 2023,Доход 2024,Доход 2023,Амортизация НМА(приблизительно),Амортизация вся(приблизительно),ebita,ebitda
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСКАД""",Юридическое лицо,Малое предприятие,2318043602,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,0,0,238004,159393,0,0,7384,497889,0,78611,7384,85995
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСКАД""",Юридическое лицо,Малое предприятие,1829014776,41.20 Строительство жилых и нежилых зданий,18 - Удмуртская Республика,,г. Глазов,,0,1738,8502,7923,11085,19656,-126,9230,0,0,-1864,-9856
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСКАД""",Юридическое лицо,Малое предприятие,6312095866,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,г Самара,,1,17,64965,79303,0,0,28571,713070,0,0,28555,14217
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСКАДТРАНССТРОЙ""",Юридическое лицо,Малое предприятие,9729089518,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,31583,4291,0,0,7384,165524,0,27292,7384,34676
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСР КОМПАНИ""",Юридическое лицо,Малое предприятие,7718971611,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,2034,4068,172718,99277,302646,181097,-11868,236111,0,192956,-13902,181088
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСТОР-С""",Юридическое лицо,Малое предприятие,7810444039,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,43951,6365,0,0,53382,1895955,0,37586,53382,90968
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСТОР""",Юридическое лицо,Малое предприятие,5405051443,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Новосибирск,,20172,6499,153233,12515,180416,27389,-8839,109069,13673,307418,4834,298579
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАТОДСТРОЙ""",Юридическое лицо,Малое предприятие,1644056822,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,6673,2770,31475,56047,0,0,-146,58109,3903,0,3757,-20815
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЧЕССТРОЙ""",Юридическое лицо,Малое предприятие,1684001516,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,0,0,0,0,0,0,-10583,40243,0,0,-10583,-10583
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КБРСГ""",Юридическое лицо,Среднее предприятие,9203006580,41.20 Строительство жилых и нежилых зданий,92 - г.Севастополь,,,,0,0,33278,55940,0,0,25192,559380,0,0,25192,2530
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВ ХОЛДИНГ""",Юридическое лицо,Малое предприятие,6314039955,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,г Самара,,30958,30017,72842,52081,104253,84785,-660,23021,941,41170,281,40510
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВ-НОВТРАНС""",Юридическое лицо,Малое предприятие,5310013513,41.20 Строительство жилых и нежилых зданий,53 - Новгородская область,Новгородский р-н,,д Новая Мельница,0,0,200749,53071,0,0,12717,1243906,0,147678,12717,160395
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВ-СТРОЙ""",Юридическое лицо,Малое предприятие,3257019190,41.20 Строительство жилых и нежилых зданий,32 - Брянская область,,г Брянск,,0,0,140135,33903,143454,35801,-84,11249,0,213885,-84,213801
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАДР""",Юридическое лицо,Малое предприятие,3257010302,41.20 Строительство жилых и нежилых зданий,32 - Брянская область,,г Брянск,,685,1384,28966,31637,32995,36366,-143,493,0,0,-842,-6884
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАДРО""",Юридическое лицо,Малое предприятие,7701367190,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,61,61,23656,30913,28158,35624,-46,17912,0,0,-46,-14769
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАДРО""",Юридическое лицо,Малое предприятие,7708367545,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,52414,34952,0,0,90390,1015983,0,17462,90390,107852
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАДРУМ""",Юридическое лицо,Малое предприятие,3664116304,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,,г Воронеж,,0,0,27822,26463,0,0,-13202,20880,0,1359,-13202,-11843
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАЛИТЕТ-97""",Юридическое лицо,Малое предприятие,7727217305,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,3430,4985,201985,162541,327879,235917,-1051,264024,0,129851,-2606,128800
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАНТ""",Юридическое лицо,Малое предприятие,5036133758,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Подольск,,0,0,2385,5505,0,0,3247,177909,0,0,3247,127
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАНТ""",Юридическое лицо,Малое предприятие,6439082522,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,г Балаково,,0,0,2533,2976,7433,5378,-677,24494,0,1612,-677,935
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАРТАЛ ДЕВЕЛОПМЕНТ""",Юридическое лицо,Малое предприятие,3662262807,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,,г Воронеж,,0,0,4106,223,0,0,8584,217200,0,3883,8584,12467
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАРТАЛ М""",Юридическое лицо,Малое предприятие,3702510713,41.20 Строительство жилых и нежилых зданий,37 - Ивановская область,,г Иваново,,0,0,4510,4719,0,0,16807,34318,0,0,16807,16598
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАРТАЛ""",Юридическое лицо,Малое предприятие,9723149993,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,Первомайское п,,п Первомайское,0,0,160,0,0,0,17,580842,0,160,17,177
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАРТАЛ""",Юридическое лицо,Среднее предприятие,7842198428,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,5159,101,0,0,-92,307370,0,5058,-92,4966
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАРТАЛ""",Юридическое лицо,Малое предприятие,7838084379,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,47,4140,55,43004,534,57536,-856,62362,0,0,-4949,-104900
