Наименование / ФИО,Тип субъекта,Категория,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Нематериальные активы 2024,Нематериальные активы 2023,Основные средства 2024,Основные средства 2023,Доходные вложения 2024,Доходные вложения 2023,Доход 2024,Доход 2023,Амортизация НМА(приблизительно),Амортизация вся(приблизительно),ebita,ebitda
"""КОРПОРАЦИЯ ВИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",Юридическое лицо,Малое предприятие,5038038838,41.20 Строительство жилых и нежилых зданий,50 - Московская область,Пушкино г,,,27,32,347613,334651,798,927,-8789,108966,0,12828,-8794,4039
"""ХОЗРАСЧЕТНАЯ СТРОИТЕЛЬНО-ТЕХНОЛОГИЧЕСКАЯ ФИРМА ""ФОБОС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Среднее предприятие,5027006369,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Дзержинский,,0,0,1301535,1174472,4150,4248,10148,1565001,0,126965,10148,137113
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""777""",Юридическое лицо,Малое предприятие,1414006922,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,93489,91174,0,0,107664,1002486,0,2315,107664,109979
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОТЕХИМПОРТ""",Юридическое лицо,Малое предприятие,3327332190,41.20 Строительство жилых и нежилых зданий,33 - Владимирская область,,г Владимир,,0,0,148048,112388,0,0,23641,1031417,0,35660,23641,59301
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКС""",Юридическое лицо,Малое предприятие,7816061297,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,8223,1556,13961,150979,69747,188843,-2975,116186,6667,0,3692,-252422
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ГАЗСТРОЙАВТОМАТИКА""",Юридическое лицо,Малое предприятие,3525048992,41.20 Строительство жилых и нежилых зданий,35 - Вологодская область,,г Вологда,,0,0,242163,169608,0,0,143652,1838703,0,72555,143652,216207
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЕКСЕЕВСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №1""",Юридическое лицо,Малое предприятие,3101000612,41.20 Строительство жилых и нежилых зданий,31 - Белгородская область,Алексеевский р-н,г Алексеевка,,0,0,35553,42356,0,0,-18416,120415,0,0,-18416,-25219
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМБЕР-СТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,5902126804,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,г Пермь,,9427,8934,138205,37034,149342,48062,-591,67038,493,202944,-98,202353
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМИРУС""",Юридическое лицо,Малое предприятие,523005733,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,Магарамкентский р-н,,с Магарамкент,0,0,32080,21081,0,0,2139,56775,0,10999,2139,13138
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСЕНАЛ""",Юридическое лицо,Среднее предприятие,7724745755,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,34951,54811,0,0,144768,1129443,0,0,144768,124908
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСИ""",Юридическое лицо,Малое предприятие,504007693,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,Ахтынский р-н,,с Ахты,0,0,30169,32174,0,0,-13,546027,0,0,-13,-2018
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРХАНГЕЛЬСКГРАЖДАНРЕКОНСТРУКЦИЯ""",Юридическое лицо,Малое предприятие,2901030646,41.20 Строительство жилых и нежилых зданий,29 - Архангельская область,,г Архангельск,,0,0,5155,6445,0,0,-5465,750704,0,0,-5465,-6755
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАВАРСКИЙ ДОМ""",Юридическое лицо,Среднее предприятие,7709008852,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,27519,32070,0,0,51573,1152402,0,0,51573,47022
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЙКАЛСТРОЙГРАД""",Юридическое лицо,Среднее предприятие,3811167535,41.20 Строительство жилых и нежилых зданий,38 - Иркутская область,,г Иркутск,,0,0,5134,2829,0,0,15781,354342,0,2305,15781,18086
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКАЯ ИНЖИНИРИНГОВАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,7810255553,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,19127,23822,0,0,577565,316038,0,0,577565,572870
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БЕЛОМОРСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА""""",Юридическое лицо,Малое предприятие,1011005108,41.20 Строительство жилых и нежилых зданий,10 - Республика Карелия,Беломорский р-н,г Беломорск,,0,0,17459,19184,2996,3175,-11049,95063,0,0,-11049,-12953
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИЛДИНГ""",Юридическое лицо,Малое предприятие,2310111297,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,0,0,435488,135543,464272,490188,-69467,211510,0,274029,-69467,204562
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БРЯНСКИЙ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИЙ ИНСТИТУТ ""БРЯНСКГИПРОВОДХОЗ""",Юридическое лицо,Малое предприятие,3250057750,41.20 Строительство жилых и нежилых зданий,32 - Брянская область,,г Брянск,,0,0,64,191,0,0,-802,6646,0,0,-802,-929
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕСТ КОНСТРАКШН""",Юридическое лицо,Среднее предприятие,7703595570,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,26380,23083,0,0,75073,428084,0,3297,75073,78370
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИШ ХОУМ ДЕВЕЛОПМЕНТ""",Юридическое лицо,Малое предприятие,7743373485,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,942,942,0,0,1218,85156,0,0,1218,1218
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЛАДИМИР-СОЮЗПРОММОНТАЖ""",Юридическое лицо,Малое предприятие,3328412522,41.20 Строительство жилых и нежилых зданий,33 - Владимирская область,,г Владимир,,0,0,50322,45436,0,0,103803,593130,0,4886,103803,108689
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛС-СЕРВИС""",Юридическое лицо,Малое предприятие,7728135831,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,98197,157048,0,0,5284,806676,0,0,5284,-53567
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОСТОЧНАЯ СИБИРЬ""",Юридическое лицо,Малое предприятие,2465006513,41.20 Строительство жилых и нежилых зданий,24 - Красноярский край,,г Красноярск,,0,0,0,0,8444,9348,-3334,61417,0,0,-3334,-4238
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНПОДРЯДНАЯ СТРОИТЕЛЬНАЯ ФИРМА ""КОНСОРЦИУМ ""ЗАПАДНЫЙ УРАЛ""",Юридическое лицо,Малое предприятие,5902115094,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,г Пермь,,0,0,12510,15373,0,0,-6038,112635,0,0,-6038,-8901
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНПОДРЯДЧИК""",Юридическое лицо,Малое предприятие,2539030721,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Владивосток,,0,0,332,382,0,0,11468,132133,0,0,11468,11418
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛАВУКС""",Юридическое лицо,Малое предприятие,5000000218,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,26,30,0,0,-7003,59414,0,0,-7003,-7007
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРАЖДАНСТРОЙ""",Юридическое лицо,Малое предприятие,6731010189,41.20 Строительство жилых и нежилых зданий,67 - Смоленская область,,г Смоленск,,0,0,17929,18641,1317,1457,-1503,23332,0,0,-1503,-2355
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРАНИ ГОРОДА""",Юридическое лицо,Среднее предприятие,5044125655,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,11685,19819,0,0,73204,3724263,0,0,73204,65070
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЕР СТРОЙ""",Юридическое лицо,Малое предприятие,7743356592,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,0,390,0,0,120,2071,0,0,120,-270
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОЛГОПРУДНЕНСКОЕ УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""",Юридическое лицо,Малое предприятие,5025012896,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Долгопрудный,,0,0,4984,17864,0,0,-18692,1353,0,0,-18692,-31572
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНАЯ КОМПАНИЯ""-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК""",Юридическое лицо,Малое предприятие,3123040930,41.20 Строительство жилых и нежилых зданий,31 - Белгородская область,,г Белгород,,0,0,12816,19251,0,0,43132,222337,0,0,43132,36697
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ № 1""",Юридическое лицо,Малое предприятие,7714046959,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,4790,8841,0,0,-74396,174384,0,0,-74396,-78447
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ №2""",Юридическое лицо,Малое предприятие,5263001814,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,0,0,25890,26683,0,0,5311,88392,0,0,5311,4518
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНЫЙ ЦЕНТР ВНЕДРЕНИЯ""",Юридическое лицо,Малое предприятие,6450042805,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,г Саратов,,0,0,0,0,0,0,7683,225684,0,0,7683,7683
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДСК""",Юридическое лицо,Малое предприятие,2466000401,41.20 Строительство жилых и нежилых зданий,24 - Красноярский край,,г Красноярск,,0,0,139192,151252,0,0,-102622,37878,0,0,-102622,-114682
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДСУ-3""",Юридическое лицо,Малое предприятие,6013000288,41.20 Строительство жилых и нежилых зданий,60 - Псковская область,Островский р-н,г Остров,,3335,4795,6921,6323,10453,14026,-244,8923,0,0,-1704,-4679
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕКБ-ОТДЕЛСТРОЙ""",Юридическое лицо,Среднее предприятие,6670160730,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,г Екатеринбург,,0,0,232,15,0,0,-18761,1214657,0,217,-18761,-18544
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖИЗДРИНСКАЯ ПМК""",Юридическое лицо,Малое предприятие,4006002065,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,Жиздринский р-н,г. Жиздра,,450,450,47,267,0,0,-882,18633,0,0,-882,-1102
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖИЛТРАНС""",Юридическое лицо,Малое предприятие,7733799210,41.20 Строительство жилых и нежилых зданий,76 - Ярославская область,,г Ярославль,,9204,15827,71215,69967,81257,86576,-3248,162470,0,0,-9871,-13942
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАРЕЧЬЕ""",Юридическое лицо,Малое предприятие,1653008582,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,59515,60149,232,590,0,0,-7382,98207,0,0,-8016,-8374
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИМПУЛЬС""",Юридическое лицо,Малое предприятие,2528000926,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,Тернейский р-н,,пгт Терней,0,0,29305,29280,0,0,-467,41504,0,25,-467,-442
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНВЕСТСТРОЙГАРАНТ""",Юридическое лицо,Малое предприятие,7705585440,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,0,0,0,0,2507,126884,0,0,2507,2507
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИННОВАЦИОННОЕ УПРАВЛЕНИЕ СТРОИТЕЛЬСТВОМ""",Юридическое лицо,Малое предприятие,7719243661,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,45,54,2251,4243,0,0,2352,67865,0,0,2343,351
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНЭФКОР""",Юридическое лицо,Малое предприятие,7720019008,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,36228,43278,0,0,-8628,79957,0,0,-8628,-15678
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЛИНИНГРАДАГРОСТРОЙ""",Юридическое лицо,Малое предприятие,3906034170,41.20 Строительство жилых и нежилых зданий,39 - Калининградская область,,г Калининград,,0,0,1680,1659,0,0,-7641,14316,0,21,-7641,-7620
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАПИТАЛЬНОЕ СТРОИТЕЛЬСТВО И РЕКОНСТРУКЦИЯ""",Юридическое лицо,Малое предприятие,7714406538,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,1065,4411,2221,417,-22259,433034,0,0,-22259,-23801
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КЁНИГ-ХОЛЬЦ""",Юридическое лицо,Малое предприятие,3903008430,41.20 Строительство жилых и нежилых зданий,39 - Калининградская область,Светлогорский р-н,г Светлогорск,,0,0,112,196,0,0,3517,52083,0,0,3517,3433
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ СПЕЦСТРОЙРЕКОНСТРУКЦИЯ""",Юридическое лицо,Малое предприятие,7729655368,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,1467,8239,0,0,-9643,146575,0,0,-9643,-16415
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНСАЛТИНГСТРОЙИНВЕСТ""",Юридическое лицо,Малое предприятие,7017334036,41.20 Строительство жилых и нежилых зданий,70 - Томская область,,г Томск,,1317,1028,85431,81501,0,0,137292,1766557,289,4219,137581,141511
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНТИ""",Юридическое лицо,Среднее предприятие,9701004970,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,68775,54199,0,0,-11928,1534289,0,14576,-11928,2648
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ""ЦЭМ""",Юридическое лицо,Малое предприятие,6228038066,41.20 Строительство жилых и нежилых зданий,62 - Рязанская область,,г Рязань,,0,0,0,406,0,0,30,47267,0,0,30,-376
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОТТЕДЖ-ИНДУСТРИЯ""",Юридическое лицо,Малое предприятие,3627008639,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,Россошанский р-н,г Россошь,,0,0,59178,57342,67,327,20559,375932,0,1576,20559,22135
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОШЕЛЕВ-ПРОЕКТ""",Юридическое лицо,Малое предприятие,6312040240,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,г Самара,,0,0,357186,362384,0,0,-54948,16936,0,0,-54948,-60146
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОДАРСКИЙ ЗАВОД ЖЕЛЕЗОБЕТОННЫХ ИЗДЕЛИЙ №1""",Юридическое лицо,Среднее предприятие,2311011320,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,0,0,45306,75862,0,0,82530,1277064,0,0,82530,51974
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОПОЛЯНСКАЯ ПТИЦЕФАБРИКА""",Юридическое лицо,Малое предприятие,5029014809,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Мытищи,д Аббакумово,0,0,746599,466270,0,0,59496,83324,0,280329,59496,339825
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРЫМСТРОЙ""",Юридическое лицо,Малое предприятие,9102046280,41.20 Строительство жилых и нежилых зданий,91 - Республика Крым,,г Симферополь,,0,0,30594,30865,0,0,2017,49610,0,0,2017,1746
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КУРОРТСТРОЙ""",Юридическое лицо,Малое предприятие,2304016990,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Геленджик,,0,0,165452,74044,0,0,98736,718195,0,91408,98736,190144
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАВР-БЕЛГОРОД""",Юридическое лицо,Малое предприятие,3128065293,41.20 Строительство жилых и нежилых зданий,31 - Белгородская область,,г Старый Оскол,,0,0,64113,60222,0,0,17991,140260,0,3891,17991,21882
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАГНИТОСТРОЙ""",Юридическое лицо,Малое предприятие,7414000992,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,,г Магнитогорск,,0,0,179011,133034,306845,136286,8131,121737,0,216536,8131,224667
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАХАЧКАЛИНСКИЙ ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ""",Юридическое лицо,Малое предприятие,541000015,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,,г Махачкала,,0,0,28794,17358,0,0,-9967,46626,0,11436,-9967,1469
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАШОПТТОРГ""",Юридическое лицо,Малое предприятие,3663001942,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,,г Воронеж,,0,0,3050,57579,0,0,5244,1047281,0,0,5244,-49285
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖХОЗЯЙСТВЕННАЯ СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""КОМСОМОЛЬСКАЯ""",Юридическое лицо,Малое предприятие,2108002261,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,Комсомольский р-н,,с Комсомольское,0,0,880,1127,0,0,-147,24395,0,0,-147,-394
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕХЗАВОД""",Юридическое лицо,Малое предприятие,7710478789,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,3314501,3530777,0,0,-111733,186438,0,0,-111733,-328009
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОГОЙТУЙСКАЯ МСО""",Юридическое лицо,Малое предприятие,8003021109,41.20 Строительство жилых и нежилых зданий,75 - Забайкальский край,Могойтуйский р-н,,пгт Могойтуй,0,0,9166,8832,0,0,-637,9396,0,334,-637,-303
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОЖГИНСКОЕ СТРОИТЕЛЬНОЕ ОБЪЕДИНЕНИЕ""",Юридическое лицо,Среднее предприятие,1830000270,41.20 Строительство жилых и нежилых зданий,18 - Удмуртская Республика,,г Можга,,0,0,100973,126952,0,0,-20312,316699,0,0,-20312,-46291
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОЗДОКСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №3""",Юридическое лицо,Малое предприятие,1510008048,41.20 Строительство жилых и нежилых зданий,15 - Республика Северная Осетия - Алания,Моздокский р-н,г Моздок,,0,0,6712,8459,0,0,45043,89893,0,0,45043,43296
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОНОЛИТ""",Юридическое лицо,Малое предприятие,5029022704,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Мытищи,,18,18,141757,146551,0,0,-13937,45489,0,0,-13937,-18731
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОНОЛИТСТРОЙ""",Юридическое лицо,Среднее предприятие,7830001839,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,2885,951,0,0,53961,1076840,0,1934,53961,55895
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛСЕЛЬСТРОЙ-18""",Юридическое лицо,Малое предприятие,5004000089,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Волоколамск,,0,0,8910,8885,0,0,-2021,22694,0,25,-2021,-1996
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛСТРОЙ №5""",Юридическое лицо,Малое предприятие,5005001110,41.20 Строительство жилых и нежилых зданий,50 - Московская область,Воскресенск г,,,0,0,23079,23234,0,0,-1134,91728,0,0,-1134,-1289
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСПРОМСТРОЙИНЖИНИРИНГ""",Юридическое лицо,Малое предприятие,7704040517,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,2692,4855,0,0,-42815,1246657,0,0,-42815,-44978
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСТИНЖСТРОЙ""",Юридическое лицо,Малое предприятие,7709502155,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Мытищи,,0,0,9249,10817,11167,13591,-2882,100202,0,0,-2882,-6874
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МР-ЦЕНТР""",Юридическое лицо,Малое предприятие,9715426146,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,820,498,0,0,2644075,1717371,0,322,2644075,2644397
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУСЛЮМОВСКАЯ МСО""",Юридическое лицо,Малое предприятие,1629003431,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),Муслюмовский р-н,,с Муслюмово,354,294,30238,13497,44296,32745,-276,64277,60,28352,-216,28076
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""СКАД""",Юридическое лицо,Малое предприятие,7726065829,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,68521,67531,10681,42202,93749,126772,-73,97619,990,0,917,-63627
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НВБ ЭНЕРГИЯ""",Юридическое лицо,Малое предприятие,7719741321,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,174297,222688,0,0,191672,1227501,0,0,191672,143281
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВСКИЙ ПРОЕКТ""",Юридическое лицо,Малое предприятие,7802148357,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,2808,2675,6388,5225,0,0,81561,731812,133,1296,81694,82857
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИИПРОМ""",Юридическое лицо,Малое предприятие,7718874505,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,2574,5012,0,0,-43351,2242269,0,0,-43351,-45789
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВАЯ ТЕХНОЛОГИЯ""",Юридическое лицо,Малое предприятие,7202255830,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,,г Тюмень,,0,0,357786,391250,0,0,969,764552,0,0,969,-32495
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОРДГРАД""",Юридическое лицо,Малое предприятие,7813427641,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,19153,135416,306714,0,0,-6397,390496,0,0,-25550,-196848
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ ТРЕСТ ""СПЕЦГИДРОЭНЕРГОМОНТАЖ""",Юридическое лицо,Малое предприятие,7815014022,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,6,8,226,366,0,0,-4630,13180,0,0,-4632,-4772
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРЛАН""",Юридическое лицо,Малое предприятие,1655409759,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,0,0,0,0,0,0,258,3456,0,0,258,258
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА № 8""",Юридическое лицо,Среднее предприятие,2115000346,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,Цивильский р-н,г Цивильск,,0,0,194137,165132,0,0,76422,2548445,0,29005,76422,105427
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТРОС""",Юридическое лицо,Малое предприятие,7816131635,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,11450,5100,0,0,205375,1637702,0,6350,205375,211725
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПОДРЯДЧИК""",Юридическое лицо,Малое предприятие,6316135260,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,г Самара,,0,0,4185,5367,0,0,7,7948,0,0,7,-1175
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРИОРИТЕТ-СТРОЙ ИНЖИНИРИНГ""",Юридическое лицо,Среднее предприятие,7714938405,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Красногорск,,0,0,181,4477,0,0,14625,736098,0,0,14625,10329
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОКОНС""",Юридическое лицо,Малое предприятие,7715278180,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,32163,33521,0,0,-17338,145016,0,0,-17338,-18696
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОМИНДУСТРИЯ АГ""",Юридическое лицо,Малое предприятие,7706194960,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,17,21,805279,847626,0,0,-31635,165834,0,0,-31639,-73986
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОММОНОЛИТ""",Юридическое лицо,Среднее предприятие,7803058547,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,6409,6746,0,0,135,1457,0,0,135,-202
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОМСТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,603282806,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,472280,250452,0,0,-47779,1644819,0,221828,-47779,174049
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОМСТРОЙТЕХНО-ИНВЕСТ""",Юридическое лицо,Малое предприятие,7709211195,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,118794,124051,0,0,-5219,18453,0,0,-5219,-10476
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОФИСТРОЙ""",Юридическое лицо,Малое предприятие,4401159638,41.20 Строительство жилых и нежилых зданий,44 - Костромская область,,г Кострома,,0,0,30,54,0,0,153068,131786,0,0,153068,153044
